Age Range,Zip Code,City,Gender,Donors,Non-Donors,ID Card Donors,ID Card Non-Donors,Driver License Donors,Driver License Non-Donors,ID Card/Driver License Donors,ID Card/Driver License Non-Donors
71+,19803,WLMINGTON,F,1,0,0,1,1,0,0,0
61-65,19720,NEWCASTLE DE,M,0,1,0,1,0,1,0,0
56-60,19801,WILMINGTON -DEL,F,0,1,0,1,0,1,0,0
71+,19903,DOVER,F,0,1,0,1,0,1,0,0
71+,19707,HOCKESSIN  DE,F,0,1,0,1,0,1,0,0
61-65,19950,FARMINGTON,M,0,1,0,1,0,1,0,0
61-65,19810,WILMILNGTON,M,0,1,0,1,0,1,0,0
21-25,19733,ST GEORGES,F,1,0,0,1,1,0,0,0
61-65,19804,WILMINTON,F,1,0,0,1,1,0,0,0
21-25,19712,NEWARK,F,0,1,0,1,0,1,0,0
45-50,19977,TOWNSEND,M,0,1,0,1,0,1,0,0
45-50,19808,MARSHALLTON,M,2,2,0,4,2,2,0,0
71+,19801,WILMINTON,F,1,0,0,1,1,0,0,0
18-20,19809,BELLEFONTE,M,1,0,0,1,1,0,0,0
71+,19804,WILMINGTON 4,M,0,1,0,1,0,1,0,0
31-35,19733,ST GEORGES,M,1,1,0,2,1,1,0,0
41-45,19810,ARDEN,M,1,0,0,1,1,0,0,0
26-30,19801,WILMINGTON DE,F,0,1,0,1,0,1,0,0
56-60,19702,CHRISTIANA,F,2,1,0,3,2,1,0,0
31-35,19892,WILMINGTON,F,0,1,0,1,0,1,0,0
66-70,19943,FELTON DE,M,0,1,0,1,0,1,0,0
41-45,19715,NEWARK,M,1,0,0,1,1,0,0,0
71+,19970,CLARKSVILLE,M,1,1,0,2,1,1,0,0
51-55,19733,ST. GEORGES,F,1,0,0,1,1,0,0,0
45-50,19802,DELAWARE,F,0,1,0,1,0,1,0,0
71+,19901,LEIPSIC,F,2,4,0,6,2,4,0,0
56-60,39709,MIDDLETOWN,M,0,1,0,1,0,1,0,0
71+,19973,BLADES,M,1,0,0,1,1,0,0,0
51-55,19805,WILMIMGTON,M,1,0,1,0,0,1,0,0
51-55,19708,KIRKWOOD,M,2,0,0,2,2,0,0,0
61-65,19970,MILLVILLE,F,1,1,0,2,1,1,0,0
61-65,19706,DELWARE CITY,M,0,1,0,1,0,1,0,0
66-70,19934,CAM-WYOMING,F,1,0,0,1,1,0,0,0
61-65,19899,WILMINGTON,M,1,0,0,1,1,0,0,0
56-60,19709,MIDLLETOWN,M,0,1,0,1,0,1,0,0
71+,19930,SOUTH BETHANY,F,0,1,0,1,0,1,0,0
56-60,19702,BEAR,M,0,1,0,1,0,1,0,0
71+,19711,NEWARK DEL,M,1,0,0,1,1,0,0,0
21-25,19716,NEWARK,F,0,2,0,2,0,2,0,0
51-55,19960,LINCLON,M,0,1,0,1,0,1,0,0
61-65,19970,CLARKSVILLE,M,0,1,0,1,0,1,0,0
45-50,19732,ROCKLAND,M,2,0,0,2,2,0,0,0
71+,19810,WILMINGTON 3,F,1,1,0,2,1,1,0,0
61-65,19807,GREENVILLE,F,2,1,0,3,2,1,0,0
<16,19709,MIDDLETOWN,F,0,1,0,1,0,1,0,0
<16,19711,NEWARK,M,0,1,0,1,0,1,0,0
61-65,19962,MAG,F,1,0,0,1,1,0,0,0
21-25,19702,CHRISTIANA,M,1,0,0,1,1,0,1,0
26-30,19717,NEWARK,M,8,1,0,9,8,1,0,0
66-70,19899,WILMINGTON,F,1,0,0,1,1,0,0,0
56-60,19703,CLAYMONTDELAWAR,F,0,1,0,1,0,1,0,0
61-65,19901,DOVER DELAWARE,M,0,1,0,1,0,1,0,0
16-17,19732,ROCKLAND,M,1,0,0,1,1,0,0,0
51-55,19971,REHOBOTH,F,6,2,0,8,6,2,0,0
36-40,19716,NEWARK,F,0,1,0,1,0,1,0,0
